Timestamp,License_Plate,OCR_Confidence,YOLO_Confidence
<<<<<<< HEAD

2026-01-23 22:47:53,8EKJ28J,0.7763956616701518,0.8300189971923828
2026-01-23 22:47:56,BEK4283,0.9869777791697496,0.8231099247932434
2026-01-23 22:48:52,EKJ283,0.994921276799914,0.9277119636535645
2026-01-23 22:51:39,8EKJ283,0.9821453635059942,0.9109252691268921
2026-01-23 22:52:00,ZDT416,0.73977000343138,0.8861640691757202
2026-01-23 22:52:30,SANK512,0.7284233160488118,0.8992080092430115
2026-01-23 22:55:19,SANK512,0.9551758802083341,0.8189618587493896
2026-01-23 22:55:56,BANK5121,0.864458304897947,0.8664963245391846
2026-01-23 22:55:57,NOV37,0.7015449113692642,0.8764684796333313
2026-01-23 22:59:21,8ANK512,0.9210496416752159,0.8411123156547546
2026-01-23 22:59:31,8K79369,0.9569292965009419,0.6621717810630798
2026-01-23 22:59:43,8XST826,0.8417915915243289,0.6695470809936523
=======
2026-01-23 18:59:49,8EKJ283,0.8844863330110492,0.923805832862854
2026-01-23 19:01:13,BEKJ283,0.44230756313100345,0.9063852429389954
2026-01-23 19:01:16,JMVOAJOY,0.6160117787030737,0.9026104807853699
2026-01-23 19:01:43,8FKJ283,0.9392169639628549,0.9124837517738342
2026-01-23 19:02:00,67DTLL6,0.9200847496845124,0.8813650012016296
2026-01-23 19:04:58,SEKJ283,0.9641329150940814,0.8806252479553223
2026-01-23 21:43:57,ANK51,0.8636491611708483,0.8378395438194275
>>>>>>> 16a9bbd (yolo and EasyOCR files)
